new_rak_version_id,new_rak_code,old_rak_version_id,old_rak_code,sub_activity_id,sub_activity_code,sub_activity_name,budget_account_id,budget_account_code,budget_account_name,old_annual_amount,new_annual_amount,difference_amount,difference_percent,change_status_code
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,be6c363b-a502-4cea-b8cd-e2344baa3220,SUB-04,Pembangunan Sumber Benih,3679f81c-3a2b-45ed-9708-25742a6eb926,5.1.02.02.001.00076,Belanja Tenaga Teknis Pengelolaan Hutan,0,22000000.00,22000000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,be6c363b-a502-4cea-b8cd-e2344baa3220,SUB-04,Pembangunan Sumber Benih,75cae4c5-72fc-467b-a4ed-c01274948376,5.1.02.01.001.00012,Belanja Bahan-Bahan Lainnya,0,2992000.00,2992000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,be6c363b-a502-4cea-b8cd-e2344baa3220,SUB-04,Pembangunan Sumber Benih,7fefbbf0-3194-4fe4-91e5-63ace357c981,5.1.02.01.001.00002,Belanja Bahan-Bahan Kimia,0,640000.00,640000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,29205f7f-8412-4992-bfdf-74e199aa39d8,5.1.02.04.001.00003,Belanja Jandin Dalam Kota,0,18750000.00,18750000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,55b7881d-dea1-4da4-adbd-d847681238af,5.1.02.04.001.00001,Belanja Jandin Biasa,0,35508000.00,35508000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,a2ce9e67-f71e-43db-9ab7-6a42ae4db111,5.1.02.01.001.00029,Belanja Bahan Komputer,0,1950000.00,1950000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,1b2dd540-a9e0-4722-ac30-200c5e763ae7,5.1.02.01.001.00026,Belanja Bahan Cetak,0,1636500.00,1636500.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,79545156-da39-4b6f-be7e-e16c1d181e18,5.1.02.01.001.00025,Belanja Kertas dan Cover,0,1608000.00,1608000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,8cba14b4-23d4-4b45-a168-506e0efc7f29,5.1.02.01.001.00024,Belanja Alat Tulis Kantor,0,1109500.00,1109500.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,6344eecb-6808-41ca-9e0c-52eebd4d787f,5.1.02.01.001.00004,Belanja BBM & Pelumas,0,2083200.00,2083200.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,d37fe840-fbd1-4259-a85a-f1a55b52b0eb,SUB-03,Pembinaan & Pengawasan PBPHH,29205f7f-8412-4992-bfdf-74e199aa39d8,5.1.02.04.001.00003,Belanja Jandin Dalam Kota,0,3000000.00,3000000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,d37fe840-fbd1-4259-a85a-f1a55b52b0eb,SUB-03,Pembinaan & Pengawasan PBPHH,a2ce9e67-f71e-43db-9ab7-6a42ae4db111,5.1.02.01.001.00029,Belanja Bahan Komputer,0,390000.00,390000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,d37fe840-fbd1-4259-a85a-f1a55b52b0eb,SUB-03,Pembinaan & Pengawasan PBPHH,79545156-da39-4b6f-be7e-e16c1d181e18,5.1.02.01.001.00025,Belanja Kertas dan Cover,0,510000.00,510000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,29205f7f-8412-4992-bfdf-74e199aa39d8,5.1.02.04.001.00003,Belanja Jandin Dalam Kota,0,12000000.00,12000000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,55b7881d-dea1-4da4-adbd-d847681238af,5.1.02.04.001.00001,Belanja Jandin Biasa,0,33366000.00,33366000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,a2ce9e67-f71e-43db-9ab7-6a42ae4db111,5.1.02.01.001.00029,Belanja Bahan Komputer,0,1560000.00,1560000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,79545156-da39-4b6f-be7e-e16c1d181e18,5.1.02.01.001.00025,Belanja Kertas dan Cover,0,850000.00,850000.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,8cba14b4-23d4-4b45-a168-506e0efc7f29,5.1.02.01.001.00024,Belanja Alat Tulis Kantor,0,345400.00,345400.00,,BARU
2eca0473-b1c0-44f2-9e90-daff74de35ed,RAK-20260102,,,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,6344eecb-6808-41ca-9e0c-52eebd4d787f,5.1.02.01.001.00004,Belanja BBM & Pelumas,0,1878600.00,1878600.00,,BARU